order_id,date,region,category,product,salesperson,quantity,unit_price,revenue,is_returned
ORD-000024,2024-04-18,South,Food,Product-026,Rep-12,35,378.86,13260.1,No
ORD-000025,2024-09-21,South,Electronics,Product-022,Rep-01,29,64.9,1882.1,No
ORD-000026,2024-10-28,North,Clothing,Product-005,Rep-02,15,8.56,128.4,No
ORD-000027,2024-02-06,East,Clothing,Product-035,Rep-05,33,122.81,4052.73,No
ORD-000028,2024-05-04,South,Electronics,Product-007,Rep-14,31,404.71,12546.01,No
ORD-000029,2024-08-04,North,Electronics,Product-004,Rep-13,27,236.18,6376.86,No
ORD-000030,2024-02-25,West,Books,Product-009,Rep-14,16,99.84,1597.44,No
ORD-000031,2024-05-22,North,Books,Product-036,Rep-04,30,128.65,3859.5,Yes
ORD-000032,2024-11-29,North,Clothing,Product-011,Rep-14,35,418.83,14659.05,No
ORD-000033,2024-09-03,North,Clothing,Product-025,Rep-01,14,433.0,6062.0,No
ORD-000034,2024-05-15,West,Books,Product-010,Rep-07,30,146.2,4386.0,No
ORD-000035,2024-04-21,West,Electronics,Product-048,Rep-11,4,291.69,1166.76,Yes
ORD-000036,2024-01-26,West,Clothing,Product-004,Rep-17,38,241.01,9158.38,Yes
ORD-000037,2024-04-05,South,Books,Product-008,Rep-19,5,299.54,1497.7,No
ORD-000038,2024-10-23,North,Books,Product-043,Rep-19,39,24.67,962.13,No
ORD-000039,2024-05-13,Central,Clothing,Product-017,Rep-13,14,336.51,4711.14,No
ORD-000040,2024-12-09,Central,Electronics,Product-001,Rep-15,42,153.5,6447.0,Yes
ORD-000041,2024-02-07,Central,Clothing,Product-023,Rep-03,35,110.51,3867.85,No
ORD-000042,2024-07-08,West,Food,Product-040,Rep-17,19,83.08,1578.52,Yes
ORD-000043,2024-12-07,North,Clothing,Product-017,Rep-04,36,153.19,5514.84,Yes
ORD-000044,2024-10-10,West,Clothing,Product-046,Rep-11,10,139.81,1398.1,No
ORD-000045,2024-12-17,West,Books,Product-017,Rep-02,41,427.19,17514.79,Yes
ORD-000046,2024-11-20,North,Electronics,Product-022,Rep-05,28,415.53,11634.84,No
ORD-000047,2024-03-23,East,Sports,Product-001,Rep-04,48,223.71,10738.08,Yes
ORD-000048,2024-12-19,Central,Sports,Product-036,Rep-05,10,275.07,2750.7,No
ORD-000049,2024-03-06,North,Food,Product-014,Rep-08,3,157.59,472.77,Yes
ORD-000050,2024-06-30,East,Sports,Product-048,Rep-05,50,282.14,14107.0,No
ORD-000051,2024-03-24,North,Clothing,Product-048,Rep-11,12,441.3,5295.6,No
ORD-000052,2024-12-08,Central,Clothing,Product-045,Rep-04,48,406.32,19503.36,No
ORD-000053,2024-01-20,East,Food,Product-020,Rep-08,31,115.1,3568.1,No
ORD-000054,2024-01-13,Central,Food,Product-005,Rep-09,43,100.6,4325.8,No
ORD-000055,2024-11-24,West,Food,Product-002,Rep-04,33,202.84,6693.72,No
ORD-000056,2024-04-01,Central,Electronics,Product-007,Rep-20,38,481.45,18295.1,No
ORD-000057,2024-06-25,East,Sports,Product-033,Rep-04,47,394.28,18531.16,No
ORD-000058,2024-10-22,East,Electronics,Product-034,Rep-18,13,131.09,1704.17,No
ORD-000059,2024-07-05,Central,Sports,Product-021,Rep-04,28,39.64,1109.92,No
ORD-000060,2024-09-16,Central,Books,Product-045,Rep-10,20,335.11,6702.2,No
ORD-000061,2024-04-08,East,Clothing,Product-040,Rep-19,27,334.14,9021.78,No
ORD-000062,2024-07-26,Central,Food,Product-014,Rep-14,36,417.69,15036.84,No
ORD-000063,2024-08-26,South,Sports,Product-031,Rep-06,29,223.87,6492.23,Yes
ORD-000064,2024-05-25,West,Food,Product-006,Rep-08,33,333.61,11009.13,No
ORD-000065,2024-04-25,North,Clothing,Product-031,Rep-20,13,77.94,1013.22,Yes
ORD-000066,2024-08-21,West,Clothing,Product-046,Rep-13,27,443.64,11978.28,No
ORD-000067,2024-07-23,North,Electronics,Product-050,Rep-14,16,78.05,1248.8,No
ORD-000068,2024-03-31,North,Sports,Product-016,Rep-04,45,261.39,11762.55,No
ORD-000069,2024-03-09,West,Sports,Product-021,Rep-15,30,335.45,10063.5,No
ORD-000070,2024-10-07,East,Books,Product-017,Rep-08,29,449.12,13024.48,No
ORD-000071,2024-09-23,Central,Books,Product-005,Rep-10,32,315.24,10087.68,No
ORD-000072,2024-05-19,West,Electronics,Product-009,Rep-05,22,163.26,3591.72,No
ORD-000073,2024-07-15,South,Electronics,Product-027,Rep-14,45,80.64,3628.8,No
ORD-000074,2024-10-04,South,Books,Product-025,Rep-19,30,210.81,6324.3,Yes
ORD-000075,2024-10-21,Central,Food,Product-049,Rep-13,25,241.1,6027.5,No
ORD-000076,2024-10-02,West,Clothing,Product-032,Rep-08,48,368.64,17694.72,No
ORD-000077,2024-08-11,Central,Books,Product-047,Rep-06,32,19.37,619.84,No
ORD-000078,2024-03-06,East,Sports,Product-037,Rep-01,40,269.39,10775.6,Yes
ORD-000079,2024-11-25,East,Clothing,Product-004,Rep-09,28,72.17,2020.76,No
ORD-000080,2024-06-16,Central,Books,Product-018,Rep-14,14,230.08,3221.12,No
ORD-000081,2024-02-11,West,Electronics,Product-023,Rep-08,31,14.59,452.29,Yes
ORD-000082,2024-11-29,South,Clothing,Product-002,Rep-20,3,378.35,1135.05,No
ORD-000083,2024-05-02,North,Sports,Product-014,Rep-15,9,239.41,2154.69,No
ORD-000084,2024-07-07,North,Clothing,Product-020,Rep-04,11,304.92,3354.12,Yes
ORD-000085,2024-06-08,East,Books,Product-046,Rep-07,37,340.29,12590.73,Yes
ORD-000086,2024-10-30,South,Electronics,Product-045,Rep-10,45,416.13,18725.85,Yes
ORD-000087,2024-10-16,East,Food,Product-005,Rep-17,3,176.87,530.61,No
ORD-000088,2024-01-07,North,Books,Product-024,Rep-15,27,412.05,11125.35,No
ORD-000089,2024-08-10,Central,Sports,Product-035,Rep-16,12,368.23,4418.76,No
ORD-000090,2024-08-11,Central,Clothing,Product-006,Rep-09,47,298.27,14018.69,No
ORD-000091,2024-05-04,West,Books,Product-022,Rep-01,49,235.03,11516.47,No
ORD-000092,2024-06-15,Central,Food,Product-022,Rep-09,12,246.34,2956.08,No
ORD-000093,2024-10-11,South,Electronics,Product-016,Rep-14,1,260.73,260.73,No
ORD-000094,2024-10-11,East,Books,Product-029,Rep-01,49,123.96,6074.04,Yes
ORD-000095,2024-05-30,South,Food,Product-043,Rep-19,15,205.18,3077.7,No
ORD-000096,2024-08-30,East,Sports,Product-022,Rep-12,36,267.81,9641.16,No
ORD-000097,2024-05-18,North,Clothing,Product-021,Rep-04,20,129.44,2588.8,No
ORD-000098,2024-04-08,Central,Sports,Product-049,Rep-17,14,370.61,5188.54,No
ORD-000099,2024-02-21,Central,Clothing,Product-020,Rep-01,13,151.64,1971.32,No
ORD-000100,2024-05-20,West,Food,Product-045,Rep-05,3,487.28,1461.84,No
ORD-000101,2024-02-22,East,Books,Product-029,Rep-11,1,289.16,289.16,No
ORD-000102,2024-01-27,East,Electronics,Product-005,Rep-13,17,470.83,8004.11,No
ORD-000103,2024-02-07,North,Clothing,Product-010,Rep-19,37,316.58,11713.46,No
ORD-000104,2024-02-13,East,Sports,Product-039,Rep-20,16,63.63,1018.08,No
ORD-000105,2024-09-24,East,Food,Product-038,Rep-14,25,228.0,5700.0,No
ORD-000106,2024-10-18,North,Clothing,Product-041,Rep-07,40,34.81,1392.4,No
ORD-000107,2024-12-04,South,Sports,Product-005,Rep-06,6,82.74,496.44,Yes
ORD-000108,2024-07-28,East,Food,Product-003,Rep-08,29,346.24,10040.96,No
ORD-000109,2024-12-27,East,Electronics,Product-044,Rep-08,19,352.98,6706.62,No
ORD-000110,2024-11-16,South,Books,Product-008,Rep-18,38,332.29,12627.02,No
ORD-000111,2024-11-27,South,Electronics,Product-004,Rep-06,10,454.66,4546.6,No
ORD-000112,2024-10-31,Central,Books,Product-008,Rep-15,48,413.0,19824.0,No
ORD-000113,2024-12-24,West,Sports,Product-032,Rep-15,26,471.62,12262.12,Yes
ORD-000114,2024-11-02,Central,Sports,Product-017,Rep-01,3,445.26,1335.78,Yes
ORD-000115,2024-04-27,West,Sports,Product-002,Rep-09,44,418.8,18427.2,Yes
ORD-000116,2024-03-30,East,Food,Product-012,Rep-19,31,261.89,8118.59,No
ORD-000117,2024-11-21,East,Food,Product-027,Rep-11,32,484.68,15509.76,No
ORD-000118,2024-12-09,Central,Books,Product-045,Rep-16,7,429.58,3007.06,No
ORD-000119,2024-12-05,West,Electronics,Product-030,Rep-03,26,407.72,10600.72,No
ORD-000120,2024-05-09,East,Sports,Product-001,Rep-18,21,62.38,1309.98,No
ORD-000121,2024-07-30,Central,Sports,Product-049,Rep-16,4,97.85,391.4,No
ORD-000122,2024-01-27,South,Food,Product-029,Rep-16,14,137.19,1920.66,Yes
ORD-000123,2024-01-15,South,Clothing,Product-020,Rep-18,41,306.39,12561.99,Yes
ORD-000124,2024-10-09,North,Books,Product-008,Rep-05,27,51.14,1380.78,No
ORD-000125,2024-05-29,East,Books,Product-031,Rep-08,33,354.18,11687.94,No
ORD-000126,2024-10-09,West,Sports,Product-048,Rep-05,10,194.88,1948.8,Yes
ORD-000127,2024-05-21,East,Food,Product-033,Rep-09,50,396.05,19802.5,Yes
ORD-000128,2024-05-24,West,Sports,Product-043,Rep-16,47,152.79,7181.13,No
ORD-000129,2024-08-16,Central,Sports,Product-049,Rep-18,35,244.75,8566.25,No
ORD-000130,2024-08-21,South,Sports,Product-025,Rep-08,21,435.45,9144.45,No
ORD-000131,2024-01-23,East,Books,Product-043,Rep-05,21,373.63,7846.23,No
ORD-000132,2024-01-19,West,Food,Product-007,Rep-15,9,253.63,2282.67,Yes
ORD-000133,2024-09-26,South,Books,Product-042,Rep-05,30,12.6,378.0,Yes
ORD-000134,2024-08-28,East,Electronics,Product-022,Rep-18,17,172.59,2934.03,No
ORD-000135,2024-06-11,East,Sports,Product-003,Rep-20,41,360.77,14791.57,Yes
ORD-000136,2024-04-30,Central,Clothing,Product-048,Rep-03,41,343.78,14094.98,No
ORD-000137,2024-02-20,North,Books,Product-011,Rep-10,49,318.71,15616.79,Yes
ORD-000138,2024-01-24,Central,Food,Product-024,Rep-14,21,399.09,8380.89,No
ORD-000139,2024-05-05,South,Clothing,Product-012,Rep-03,34,208.97,7104.98,No
ORD-000140,2024-11-13,West,Clothing,Product-015,Rep-15,44,124.21,5465.24,No
ORD-000141,2024-08-23,East,Food,Product-044,Rep-18,17,335.09,5696.53,No
ORD-000142,2024-02-07,West,Food,Product-041,Rep-14,29,472.89,13713.81,No
ORD-000143,2024-08-21,East,Books,Product-007,Rep-08,20,103.61,2072.2,No
ORD-000144,2024-10-19,Central,Electronics,Product-043,Rep-13,23,289.53,6659.19,No
ORD-000145,2024-01-05,North,Sports,Product-048,Rep-16,37,433.21,16028.77,No
ORD-000146,2024-04-27,South,Clothing,Product-040,Rep-09,39,401.96,15676.44,No
ORD-000147,2024-11-17,North,Food,Product-029,Rep-02,7,452.18,3165.26,No
ORD-000148,2024-03-08,Central,Books,Product-012,Rep-07,6,455.27,2731.62,No
ORD-000149,2024-10-03,Central,Clothing,Product-017,Rep-16,24,267.77,6426.48,No
ORD-000150,2024-06-22,North,Clothing,Product-049,Rep-08,8,236.82,1894.56,No
ORD-000151,2024-10-12,East,Electronics,Product-017,Rep-18,24,49.7,1192.8,Yes
ORD-000152,2024-08-20,Central,Sports,Product-025,Rep-12,24,338.05,8113.2,Yes
ORD-000153,2024-12-11,West,Sports,Product-021,Rep-20,15,238.38,3575.7,No
ORD-000154,2024-11-27,East,Food,Product-042,Rep-14,5,319.52,1597.6,Yes
ORD-000155,2024-03-12,Central,Books,Product-008,Rep-04,3,473.4,1420.2,No
ORD-000156,2024-10-02,Central,Sports,Product-027,Rep-19,9,197.38,1776.42,No
ORD-000157,2024-07-31,East,Sports,Product-027,Rep-09,42,54.02,2268.84,Yes
ORD-000158,2024-12-19,East,Clothing,Product-024,Rep-04,24,112.55,2701.2,No
ORD-000159,2024-10-05,East,Food,Product-013,Rep-04,42,182.54,7666.68,No
ORD-000160,2024-02-16,West,Electronics,Product-004,Rep-11,43,109.99,4729.57,No
ORD-000161,2024-03-05,West,Clothing,Product-038,Rep-07,37,106.58,3943.46,No
ORD-000162,2024-06-17,West,Electronics,Product-018,Rep-05,50,78.04,3902.0,No
ORD-000163,2024-10-03,North,Electronics,Product-009,Rep-01,17,400.26,6804.42,No
ORD-000164,2024-05-01,South,Food,Product-004,Rep-05,38,165.27,6280.26,No
ORD-000165,2024-09-26,East,Books,Product-050,Rep-12,8,374.1,2992.8,Yes
ORD-000166,2024-08-19,West,Electronics,Product-047,Rep-17,33,114.67,3784.11,No
ORD-000167,2024-08-22,North,Books,Product-026,Rep-14,42,482.19,20251.98,Yes
ORD-000168,2024-09-08,North,Electronics,Product-021,Rep-20,46,455.3,20943.8,No
ORD-000169,2024-02-03,West,Sports,Product-046,Rep-11,9,141.13,1270.17,No
ORD-000170,2024-11-01,West,Sports,Product-028,Rep-04,34,150.97,5132.98,Yes
ORD-000171,2024-12-01,West,Clothing,Product-028,Rep-15,42,439.46,18457.32,No
ORD-000172,2024-07-30,East,Books,Product-047,Rep-04,22,414.57,9120.54,No
ORD-000173,2024-08-06,Central,Clothing,Product-044,Rep-16,21,334.23,7018.83,Yes
ORD-000174,2024-02-16,North,Food,Product-009,Rep-18,6,51.15,306.9,Yes
ORD-000175,2024-10-27,North,Books,Product-023,Rep-14,36,283.03,10189.08,Yes
ORD-000176,2024-05-27,North,Sports,Product-033,Rep-07,39,159.66,6226.74,No
ORD-000177,2024-12-02,North,Food,Product-036,Rep-12,31,116.0,3596.0,Yes
ORD-000178,2024-05-22,East,Sports,Product-050,Rep-20,37,116.95,4327.15,Yes
ORD-000179,2024-11-07,Central,Electronics,Product-012,Rep-09,43,415.58,17869.94,No
ORD-000180,2024-06-22,South,Sports,Product-043,Rep-13,23,8.02,184.46,Yes
ORD-000181,2024-03-13,North,Electronics,Product-048,Rep-17,48,318.42,15284.16,No
ORD-000182,2024-07-11,South,Food,Product-020,Rep-11,27,229.55,6197.85,Yes
ORD-000183,2024-01-27,West,Electronics,Product-044,Rep-03,10,82.92,829.2,No
ORD-000184,2024-08-14,West,Books,Product-027,Rep-09,43,214.89,9240.27,No
ORD-000185,2024-09-19,North,Food,Product-044,Rep-19,8,175.86,1406.88,No
ORD-000186,2024-09-26,South,Books,Product-039,Rep-02,43,157.67,6779.81,Yes
ORD-000187,2024-04-14,South,Food,Product-019,Rep-11,20,472.94,9458.8,Yes
ORD-000188,2024-01-04,South,Clothing,Product-025,Rep-18,32,374.77,11992.64,No
ORD-000189,2024-09-13,Central,Electronics,Product-026,Rep-02,36,417.51,15030.36,No
ORD-000190,2024-01-10,Central,Sports,Product-028,Rep-19,30,460.98,13829.4,No
ORD-000191,2024-12-29,North,Books,Product-002,Rep-11,41,211.76,8682.16,No
ORD-000192,2024-11-12,Central,Electronics,Product-028,Rep-04,30,416.85,12505.5,No
ORD-000193,2024-08-11,North,Books,Product-020,Rep-11,38,203.22,7722.36,No
ORD-000194,2024-06-19,West,Electronics,Product-034,Rep-17,50,88.23,4411.5,No
ORD-000195,2024-06-27,South,Clothing,Product-007,Rep-05,23,365.05,8396.15,No
ORD-000196,2024-04-11,North,Clothing,Product-050,Rep-16,12,303.19,3638.28,No
ORD-000197,2024-10-15,West,Sports,Product-021,Rep-11,49,291.84,14300.16,No
ORD-000198,2024-08-13,Central,Food,Product-038,Rep-02,5,237.12,1185.6,No
ORD-000199,2024-09-16,East,Electronics,Product-004,Rep-12,5,158.65,793.25,No
ORD-000200,2024-02-09,North,Sports,Product-039,Rep-17,42,432.8,18177.6,No
ORD-000201,2024-08-24,North,Books,Product-037,Rep-07,38,279.39,10616.82,No
ORD-000202,2024-11-05,North,Books,Product-007,Rep-11,31,253.18,7848.58,Yes
ORD-000203,2024-09-15,South,Books,Product-029,Rep-17,42,90.42,3797.64,No
ORD-000204,2024-07-05,East,Books,Product-050,Rep-11,24,459.38,11025.12,Yes
ORD-000205,2024-11-19,Central,Electronics,Product-036,Rep-13,42,170.65,7167.3,No
ORD-000206,2024-05-09,West,Clothing,Product-022,Rep-03,47,426.53,20046.91,No
ORD-000207,2024-06-28,East,Clothing,Product-039,Rep-03,20,484.01,9680.2,No
ORD-000208,2024-10-13,Central,Clothing,Product-043,Rep-17,25,323.53,8088.25,Yes
ORD-000209,2024-11-26,Central,Electronics,Product-024,Rep-10,43,214.59,9227.37,No
ORD-000210,2024-04-19,East,Clothing,Product-015,Rep-05,22,474.1,10430.2,No
ORD-000211,2024-02-09,North,Sports,Product-050,Rep-18,19,422.99,8036.81,Yes
ORD-000212,2024-12-04,West,Clothing,Product-039,Rep-13,22,438.81,9653.82,No
ORD-000213,2024-03-24,West,Clothing,Product-047,Rep-15,12,416.52,4998.24,Yes
ORD-000214,2024-07-29,South,Books,Product-040,Rep-10,24,339.8,8155.2,No
ORD-000215,2024-04-29,East,Clothing,Product-024,Rep-19,35,123.39,4318.65,No
ORD-000216,2024-08-24,East,Sports,Product-034,Rep-14,50,144.48,7224.0,No
ORD-000217,2024-04-12,Central,Electronics,Product-042,Rep-16,39,73.51,2866.89,No
ORD-000218,2024-10-10,West,Electronics,Product-019,Rep-03,7,357.14,2499.98,No
ORD-000219,2024-05-19,South,Books,Product-006,Rep-08,29,453.13,13140.77,No
ORD-000220,2024-06-27,East,Sports,Product-024,Rep-08,2,210.37,420.74,No
ORD-000221,2024-02-11,Central,Electronics,Product-046,Rep-11,24,116.15,2787.6,No
ORD-000222,2024-03-11,East,Clothing,Product-049,Rep-16,3,147.01,441.03,No
ORD-000223,2024-11-11,North,Food,Product-014,Rep-05,1,453.4,453.4,No
ORD-000224,2024-02-26,Central,Electronics,Product-004,Rep-08,50,147.61,7380.5,No
ORD-000225,2024-11-23,North,Books,Product-039,Rep-18,40,231.27,9250.8,Yes
ORD-000226,2024-11-19,South,Food,Product-028,Rep-01,33,289.65,9558.45,No
ORD-000227,2024-05-03,North,Sports,Product-024,Rep-03,37,211.2,7814.4,Yes
ORD-000228,2024-07-18,East,Food,Product-017,Rep-01,31,26.55,823.05,No
ORD-000229,2024-02-04,North,Sports,Product-048,Rep-11,23,124.36,2860.28,No
ORD-000230,2024-01-23,South,Books,Product-045,Rep-16,23,275.28,6331.44,No
ORD-000231,2024-03-10,East,Electronics,Product-019,Rep-07,5,359.44,1797.2,Yes
ORD-000232,2024-04-12,Central,Sports,Product-026,Rep-18,3,161.22,483.66,No
ORD-000233,2024-05-09,South,Food,Product-023,Rep-02,3,377.88,1133.64,No
ORD-000234,2024-05-19,East,Books,Product-048,Rep-15,8,400.67,3205.36,No
ORD-000235,2024-06-22,East,Food,Product-034,Rep-09,12,250.62,3007.44,Yes
ORD-000236,2024-08-05,South,Sports,Product-019,Rep-11,6,218.15,1308.9,Yes
ORD-000237,2024-02-10,Central,Books,Product-039,Rep-14,21,332.16,6975.36,No
ORD-000238,2024-12-19,North,Food,Product-040,Rep-14,29,179.02,5191.58,No
ORD-000239,2024-11-23,East,Food,Product-033,Rep-06,4,42.15,168.6,Yes
ORD-000240,2024-03-14,East,Electronics,Product-009,Rep-03,39,340.65,13285.35,No
ORD-000241,2024-11-26,West,Electronics,Product-039,Rep-05,24,184.26,4422.24,No
ORD-000242,2024-07-08,North,Sports,Product-009,Rep-17,24,224.75,5394.0,No
ORD-000243,2024-07-22,South,Electronics,Product-002,Rep-06,21,326.53,6857.13,No
ORD-000244,2024-09-22,North,Food,Product-050,Rep-09,25,457.2,11430.0,No
ORD-000245,2024-04-19,East,Clothing,Product-008,Rep-05,40,146.36,5854.4,Yes
ORD-000246,2024-08-19,East,Electronics,Product-044,Rep-11,12,449.85,5398.2,No
ORD-000247,2024-12-29,Central,Food,Product-011,Rep-06,5,277.25,1386.25,No
ORD-000248,2024-09-17,South,Clothing,Product-016,Rep-16,15,65.07,976.05,Yes
ORD-000249,2024-07-03,East,Sports,Product-009,Rep-20,36,288.28,10378.08,Yes
ORD-000250,2024-02-03,East,Sports,Product-027,Rep-14,20,202.09,4041.8,Yes
ORD-000251,2024-03-05,East,Books,Product-044,Rep-17,21,322.96,6782.16,No
ORD-000252,2024-03-06,West,Clothing,Product-050,Rep-05,50,277.9,13895.0,No
ORD-000253,2024-09-14,West,Clothing,Product-020,Rep-06,4,416.54,1666.16,No
ORD-000254,2024-06-14,West,Food,Product-006,Rep-09,46,116.61,5364.06,No
ORD-000255,2024-11-21,Central,Sports,Product-035,Rep-03,36,140.85,5070.6,No
ORD-000256,2024-10-30,West,Sports,Product-022,Rep-19,38,81.33,3090.54,Yes
ORD-000257,2024-01-15,West,Food,Product-042,Rep-07,6,27.5,165.0,No
ORD-000258,2024-11-12,West,Food,Product-042,Rep-10,41,19.99,819.59,No
ORD-000259,2024-05-05,East,Electronics,Product-045,Rep-02,44,206.02,9064.88,No
ORD-000260,2024-08-13,South,Food,Product-039,Rep-05,27,244.7,6606.9,No
ORD-000261,2024-06-12,Central,Books,Product-009,Rep-12,47,494.07,23221.29,Yes
ORD-000262,2024-06-12,Central,Books,Product-016,Rep-05,16,235.9,3774.4,Yes
ORD-000263,2024-01-26,West,Books,Product-016,Rep-06,19,472.97,8986.43,No
ORD-000264,2024-10-22,South,Books,Product-033,Rep-15,47,159.79,7510.13,No
ORD-000265,2024-06-06,East,Sports,Product-030,Rep-08,32,16.47,527.04,No
ORD-000266,2024-10-25,Central,Books,Product-039,Rep-16,23,29.09,669.07,No
ORD-000267,2024-10-01,East,Clothing,Product-017,Rep-12,1,424.35,424.35,No
ORD-000268,2024-07-06,West,Sports,Product-013,Rep-12,3,203.29,609.87,No
ORD-000269,2024-02-07,West,Food,Product-040,Rep-20,25,254.61,6365.25,Yes
ORD-000270,2024-03-06,Central,Sports,Product-024,Rep-05,7,199.98,1399.86,No
ORD-000271,2024-11-04,North,Electronics,Product-003,Rep-05,33,203.69,6721.77,No
ORD-000272,2024-08-30,West,Sports,Product-009,Rep-11,34,231.21,7861.14,No
ORD-000273,2024-03-24,Central,Sports,Product-022,Rep-17,26,495.35,12879.1,No
ORD-000274,2024-12-28,North,Food,Product-022,Rep-04,37,153.4,5675.8,No
ORD-000275,2024-10-25,North,Sports,Product-031,Rep-09,20,399.39,7987.8,No
ORD-000276,2024-01-27,West,Sports,Product-050,Rep-13,38,242.82,9227.16,No
ORD-000277,2024-12-14,North,Clothing,Product-002,Rep-15,16,20.63,330.08,No
ORD-000278,2024-08-02,South,Books,Product-033,Rep-20,10,209.42,2094.2,No
ORD-000279,2024-02-01,South,Sports,Product-021,Rep-16,46,73.35,3374.1,No
ORD-000280,2024-06-09,West,Food,Product-035,Rep-12,12,232.53,2790.36,No
ORD-000281,2024-11-08,South,Food,Product-036,Rep-10,31,100.17,3105.27,No
ORD-000282,2024-06-01,South,Books,Product-021,Rep-16,50,148.06,7403.0,No
ORD-000283,2024-10-13,North,Sports,Product-044,Rep-18,47,140.36,6596.92,No
ORD-000284,2024-07-21,South,Food,Product-003,Rep-10,23,477.53,10983.19,Yes
ORD-000285,2024-06-26,East,Clothing,Product-013,Rep-18,29,329.71,9561.59,No
ORD-000286,2024-10-14,North,Sports,Product-048,Rep-19,45,139.45,6275.25,No
ORD-000287,2024-05-04,West,Clothing,Product-041,Rep-08,4,336.57,1346.28,Yes
ORD-000288,2024-02-21,East,Electronics,Product-044,Rep-05,27,168.5,4549.5,Yes
ORD-000289,2024-10-08,East,Books,Product-042,Rep-07,11,206.42,2270.62,No
ORD-000290,2024-06-13,North,Sports,Product-015,Rep-18,19,324.72,6169.68,Yes
ORD-000291,2024-03-30,South,Electronics,Product-026,Rep-16,27,441.71,11926.17,No
ORD-000292,2024-05-28,West,Sports,Product-007,Rep-11,3,9.59,28.77,No
ORD-000293,2024-08-20,East,Clothing,Product-033,Rep-15,42,273.93,11505.06,No
ORD-000294,2024-04-08,East,Food,Product-046,Rep-06,8,168.69,1349.52,Yes
ORD-000295,2024-06-21,South,Clothing,Product-040,Rep-13,19,286.05,5434.95,No
ORD-000296,2024-09-20,North,Clothing,Product-009,Rep-16,21,47.94,1006.74,No
ORD-000297,2024-05-07,South,Books,Product-049,Rep-09,1,134.09,134.09,No
ORD-000298,2024-06-03,North,Food,Product-042,Rep-12,38,362.83,13787.54,No
ORD-000299,2024-02-01,Central,Clothing,Product-026,Rep-17,43,63.52,2731.36,No
ORD-000300,2024-12-19,Central,Food,Product-040,Rep-08,8,321.16,2569.28,No
ORD-000301,2024-03-09,West,Food,Product-027,Rep-18,31,80.83,2505.73,No
ORD-000302,2024-10-02,South,Sports,Product-006,Rep-17,43,413.67,17787.81,No
ORD-000303,2024-09-27,West,Electronics,Product-004,Rep-18,46,184.08,8467.68,No
ORD-000304,2024-10-20,Central,Sports,Product-029,Rep-04,35,79.18,2771.3,No
ORD-000305,2024-10-25,West,Books,Product-004,Rep-15,32,50.02,1600.64,No
ORD-000306,2024-09-19,North,Sports,Product-030,Rep-10,27,231.12,6240.24,Yes
ORD-000307,2024-07-21,South,Sports,Product-005,Rep-02,17,409.14,6955.38,No
ORD-000308,2024-06-25,North,Electronics,Product-031,Rep-02,45,36.56,1645.2,No
ORD-000309,2024-07-28,East,Food,Product-025,Rep-15,12,385.64,4627.68,No
ORD-000310,2024-07-11,West,Clothing,Product-042,Rep-12,6,342.95,2057.7,Yes
ORD-000311,2024-04-01,South,Clothing,Product-001,Rep-01,35,199.56,6984.6,No
ORD-000312,2024-08-25,East,Sports,Product-025,Rep-08,44,360.95,15881.8,No
